this is a document to show the results I got from the gaussain naive bayes classifaction problem.

accuracy = 0.7987897125567323
precision = 0.7789036604808237
recall = 0.7680606874000654

true label : label from classification     whether the classifcation was successful 

bridge : childs    no 
bridge : childs    no 
bridge : downwarddog    no 
bridge : plank    no 
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : trianglepose    no 
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : bridge    yes
bridge : seatedforwardbend    no 
bridge : downwarddog    no 
bridge : seatedforwardbend    no 
bridge : bridge    yes
bridge : bridge    yes
bridge : plank    no 
bridge : plank    no 
bridge : bridge    yes
bridge : bridge    yes
bridge : bridge    yes
bridge : childs    no 
bridge : childs    no 
bridge : bridge    yes
bridge : childs    no 
bridge : bridge    yes
bridge : childs    no 
bridge : bridge    yes
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : plank    no 
bridge : bridge    yes
bridge : bridge    yes
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : childs    no 
bridge : childs    no 
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : bridge    yes
bridge : plank    no 
bridge : downwarddog    no 
bridge : bridge    yes
bridge : downwarddog    no 
bridge : bridge    yes
bridge : childs    no 
bridge : downwarddog    no 
bridge : downwarddog    no 
bridge : plank    no 
bridge : plank    no 
bridge : childs    no 
bridge : downwarddog    no 
bridge : bridge    yes
bridge : childs    no 
bridge : bridge    yes
bridge : childs    no 
bridge : bridge    yes
bridge : downwarddog    no 
bridge : childs    no 
bridge : downwarddog    no 
bridge : bridge    yes
bridge : downwarddog    no 
bridge : childs    no 
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : downwarddog    no 
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : bridge    no 
childs : childs    yes
childs : childs    yes
childs : downwarddog    no 
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
childs : childs    yes
downwarddog : plank    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : bridge    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : seatedforwardbend    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : plank    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : bridge    no 
downwarddog : childs    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : plank    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : childs    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : bridge    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : plank    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : plank    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : childs    no 
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
downwarddog : downwarddog    yes
mountain : mountain    yes
mountain : tree    no 
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : tree    no 
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : tree    no 
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : tree    no 
mountain : tree    no 
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : tree    no 
mountain : tree    no 
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : tree    no 
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : tree    no 
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : tree    no 
mountain : tree    no 
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : tree    no 
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
mountain : mountain    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : childs    no 
plank : childs    no 
plank : plank    yes
plank : childs    no 
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : bridge    no 
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : trianglepose    no 
plank : plank    yes
plank : plank    yes
plank : downwarddog    no 
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : plank    yes
plank : childs    no 
plank : plank    yes
plank : plank    yes
plank : plank    yes
seatedforwardbend : childs    no 
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : childs    no 
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : plank    no 
seatedforwardbend : childs    no 
seatedforwardbend : downwarddog    no 
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : trianglepose    no 
seatedforwardbend : plank    no 
seatedforwardbend : childs    no 
seatedforwardbend : childs    no 
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : trianglepose    no 
seatedforwardbend : trianglepose    no 
seatedforwardbend : trianglepose    no 
seatedforwardbend : childs    no 
seatedforwardbend : seatedforwardbend    yes
seatedforwardbend : childs    no 
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : downwarddog    no 
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : warrior1    no 
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : warrior1    no 
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
tree : tree    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : bridge    no 
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : plank    no 
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : warrior2    no 
trianglepose : warrior2    no 
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
trianglepose : trianglepose    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior2    no 
warrior1 : warrior2    no 
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : trianglepose    no 
warrior1 : tree    no 
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior2    no 
warrior1 : warrior2    no 
warrior1 : warrior1    yes
warrior1 : bridge    no 
warrior1 : warrior1    yes
warrior1 : trianglepose    no 
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : seatedforwardbend    no 
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : trianglepose    no 
warrior1 : warrior2    no 
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : trianglepose    no 
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : downwarddog    no 
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior1 : warrior1    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : plank    no 
warrior2 : warrior1    no 
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior1    no 
warrior2 : warrior2    yes
warrior2 : warrior2    yes
warrior2 : warrior1    no 
warrior2 : warrior2    yes
warrior2 : warrior2    yes
